no_bfs	communes	pop2022	pop_0-19_2022	prop_0-19_2022
1	Aeugst am Albis	1991	374	18.785
2	Affoltern am Albis	12588	2561	20.345
3	Bonstetten	5624	1311	23.311
4	Hausen am Albis	3879	844	21.758
5	Hedingen	3871	816	21.080
6	Kappel am Albis	1321	341	25.814
7	Knonau	2416	610	25.248
8	Maschwanden	644	142	22.050
9	Mettmenstetten	5635	1325	23.514
10	Obfelden	5787	1358	23.466
11	Ottenbach	2858	602	21.064
12	Rifferswil	1149	302	26.284
13	Stallikon	3854	870	22.574
14	Wettswil am Albis	5282	1224	23.173
21	Adlikon	707	164	23.197
22	Benken (ZH)	847	169	19.953
23	Berg am Irchel	592	86	14.527
24	Buch am Irchel	1038	260	25.048
25	Dachsen	1950	385	19.744
26	Dorf	712	145	20.365
27	Feuerthalen	3771	757	20.074
28	Flaach	1474	320	21.710
29	Flurlingen	1513	300	19.828
30	Andelfingen	2230	508	22.780
31	Henggart	2257	463	20.514
32	Humlikon	494	118	23.887
33	Kleinandelfingen	2132	462	21.670
34	Laufen-Uhwiesen	1781	326	18.304
35	Marthalen	1950	410	21.026
37	Ossingen	1710	345	20.175
38	Rheinau	1285	233	18.132
39	Thalheim an der Thur	977	229	23.439
40	Trüllikon	1066	201	18.856
41	Truttikon	465	90	19.355
43	Volken	381	95	24.934
51	Bachenbülach	4208	903	21.459
52	Bassersdorf	12062	2523	20.917
53	Bülach	23624	4967	21.025
54	Dietlikon	7855	1594	20.293
55	Eglisau	5520	1253	22.699
56	Embrach	10005	2143	21.419
57	Freienstein-Teufen	2394	460	19.215
58	Glattfelden	5258	1147	21.814
59	Hochfelden	1989	441	22.172
60	Höri	3307	651	19.686
61	Hüntwangen	1093	225	20.586
62	Kloten	20980	3811	18.165
63	Lufingen	2767	646	23.347
64	Nürensdorf	5710	1074	18.809
65	Oberembrach	1092	182	16.667
66	Opfikon	21213	4369	20.596
67	Rafz	4672	939	20.098
68	Rorbas	2908	669	23.006
69	Wallisellen	17299	3366	19.458
70	Wasterkingen	589	111	18.846
71	Wil (ZH)	1564	336	21.483
72	Winkel	4858	856	17.620
81	Bachs	636	117	18.396
82	Boppelsen	1454	318	21.871
83	Buchs (ZH)	6628	1356	20.459
84	Dällikon	4271	914	21.400
85	Dänikon	1865	393	21.072
86	Dielsdorf	6151	1217	19.785
87	Hüttikon	959	256	26.694
88	Neerach	3314	557	16.807
89	Niederglatt	5180	1034	19.961
90	Niederhasli	9497	2107	22.186
91	Niederweningen	3082	676	21.934
92	Oberglatt	7520	1635	21.742
93	Oberweningen	1883	363	19.278
94	Otelfingen	2946	669	22.709
95	Regensberg	464	84	18.103
96	Regensdorf	18739	3864	20.620
97	Rümlang	8186	1762	21.525
98	Schleinikon	863	145	16.802
99	Schöfflisdorf	1361	256	18.810
100	Stadel	2349	472	20.094
101	Steinmaur	3613	723	20.011
102	Weiach	2077	399	19.210
111	Bäretswil	5098	1088	21.342
112	Bubikon	7496	1636	21.825
113	Dürnten	7779	1654	21.262
114	Fischenthal	2606	580	22.256
115	Gossau (ZH)	10336	2133	20.637
116	Grüningen	3845	803	20.884
117	Hinwil	11576	2263	19.549
118	Rüti (ZH)	12701	2530	19.920
119	Seegräben	1422	288	20.253
120	Wald (ZH)	10343	2076	20.072
121	Wetzikon (ZH)	26018	5263	20.228
131	Adliswil	19243	3919	20.366
135	Kilchberg (ZH)	9303	2041	21.939
136	Langnau am Albis	8056	1724	21.400
137	Oberrieden	5289	1038	19.626
138	Richterswil	13987	3006	21.491
139	Rüschlikon	6218	1397	22.467
141	Thalwil	18392	3721	20.232
151	Erlenbach (ZH)	5678	1204	21.205
152	Herrliberg	6749	1382	20.477
153	Hombrechtikon	8964	1774	19.790
154	Küsnacht (ZH)	14833	3170	21.371
155	Männedorf	11437	2294	20.058
156	Meilen	14754	3135	21.248
157	Oetwil am See	4947	1046	21.144
158	Stäfa	14889	2770	18.604
159	Uetikon am See	6325	1248	19.731
160	Zumikon	5633	1278	22.688
161	Zollikon	13472	2808	20.843
172	Fehraltorf	6791	1494	22.000
173	Hittnau	3756	840	22.364
176	Lindau	5723	1192	20.828
177	Pfäffikon	12379	2380	19.226
178	Russikon	4511	970	21.503
180	Weisslingen	3436	707	20.576
181	Wila	2043	434	21.243
182	Wildberg	1029	238	23.129
191	Dübendorf	30801	5755	18.684
192	Egg	8786	1785	20.316
193	Fällanden	9461	2153	22.757
194	Greifensee	5329	1194	22.406
195	Maur	10757	2193	20.387
196	Mönchaltorf	4118	860	20.884
197	Schwerzenbach	5133	1058	20.612
198	Uster	35748	7204	20.152
199	Volketswil	19412	4212	21.698
200	Wangen-Brüttisellen	8097	1718	21.218
211	Altikon	729	158	21.674
213	Brütten	2161	418	19.343
214	Dägerlen	1092	222	20.330
215	Dättlikon	829	201	24.246
216	Dinhard	1730	378	21.850
218	Ellikon an der Thur	1035	217	20.966
219	Elsau	3707	795	21.446
220	Hagenbuch	1148	258	22.474
221	Hettlingen	3118	683	21.905
223	Neftenbach	5761	1284	22.288
224	Pfungen	4053	871	21.490
225	Rickenbach (ZH)	2770	681	24.585
226	Schlatt (ZH)	759	195	25.692
227	Seuzach	7692	1446	18.799
228	Turbenthal	5049	1125	22.282
230	Winterthur	116906	23556	20.150
231	Zell (ZH)	6491	1375	21.183
241	Aesch (ZH)	1672	373	22.309
242	Birmensdorf (ZH)	7057	1540	21.822
243	Dietikon	28162	5740	20.382
244	Geroldswil	5262	1186	22.539
245	Oberengstringen	6810	1172	17.210
246	Oetwil an der Limmat	2560	427	16.680
247	Schlieren	20350	3691	18.138
248	Uitikon	5105	1118	21.900
249	Unterengstringen	4119	813	19.738
250	Urdorf	10332	2143	20.741
251	Weiningen (ZH)	4883	989	20.254
261	Zürich	427721	75573	17.669
292	Stammheim	2879	619	21.501
293	Wädenswil	25193	4909	19.486
294	Elgg	5071	1075	21.199
295	Horgen	23628	4928	20.857
296	Illnau-Effretikon	17564	3441	19.591
297	Bauma	4924	980	19.903
298	Wiesendangen	6710	1427	21.267
301	Aarberg	4629	914	19.745
302	Bargen (BE)	1100	242	22.000
303	Grossaffoltern	3064	586	19.125
304	Kallnach	2252	440	19.538
305	Kappelen	1407	275	19.545
306	Lyss	16190	3183	19.660
307	Meikirch	2558	510	19.937
309	Radelfingen	1260	248	19.683
310	Rapperswil (BE)	2675	530	19.813
311	Schüpfen	3763	750	19.931
312	Seedorf (BE)	3183	596	18.724
321	Aarwangen	4793	971	20.259
322	Auswil	458	97	21.179
323	Bannwil	696	141	20.259
324	Bleienbach	748	145	19.385
325	Busswil bei Melchnau	173	21	12.139
326	Gondiswil	738	163	22.087
329	Langenthal	15838	3092	19.523
331	Lotzwil	2672	585	21.894
332	Madiswil	3335	669	20.060
333	Melchnau	1482	301	20.310
335	Oeschenbach	223	32	14.350
336	Reisiswil	171	37	21.637
337	Roggwil (BE)	4250	878	20.659
338	Rohrbach	1572	316	20.102
339	Rohrbachgraben	384	80	20.833
340	Rütschelen	571	136	23.818
341	Schwarzhäusern	533	123	23.077
342	Thunstetten	3459	705	20.382
344	Ursenbach	866	173	19.977
345	Wynau	1676	339	20.227
351	Bern	134506	22753	16.916
352	Bolligen	6361	1265	19.887
353	Bremgarten bei Bern	4303	888	20.637
354	Kirchlindach	3216	567	17.631
355	Köniz	42409	8394	19.793
356	Muri bei Bern	13317	2536	19.043
357	Oberbalm	856	158	18.458
358	Stettlen	3380	712	21.065
359	Vechigen	5694	1086	19.073
360	Wohlen bei Bern	9348	1715	18.346
361	Zollikofen	11140	2149	19.291
362	Ittigen	11595	2258	19.474
363	Ostermundigen	17884	3519	19.677
371	Biel/Bienne	55070	10607	19.261
372	Evilard	2704	642	23.743
381	Arch	1718	331	19.267
382	Büetigen	920	197	21.413
383	Büren an der Aare	3696	767	20.752
385	Diessbach bei Büren	1016	245	24.114
386	Dotzigen	1589	368	23.159
387	Lengnau (BE)	5595	1112	19.875
388	Leuzigen	1341	307	22.893
389	Meienried	56	9	16.071
390	Meinisberg	1419	324	22.833
391	Oberwil bei Büren	926	195	21.058
392	Pieterlen	5059	1201	23.740
393	Rüti bei Büren	855	166	19.415
394	Wengi	633	118	18.641
401	Aefligen	1140	243	21.316
402	Alchenstorf	606	110	18.152
403	Bäriswil	1096	233	21.259
404	Burgdorf	16586	3125	18.841
405	Ersigen	2020	410	20.297
406	Hasle bei Burgdorf	3377	717	21.232
407	Heimiswil	1613	355	22.009
408	Hellsau	203	49	24.138
409	Hindelbank	2806	601	21.418
410	Höchstetten	268	49	18.284
411	Kernenried	541	110	20.333
412	Kirchberg (BE)	5899	1113	18.868
413	Koppigen	2214	417	18.835
414	Krauchthal	2369	445	18.784
415	Lyssach	1477	283	19.160
418	Oberburg	2936	595	20.266
420	Rüdtligen-Alchenflüh	2459	487	19.805
421	Rumendingen	78	20	25.641
422	Rüti bei Lyssach	160	34	21.250
423	Willadingen	191	28	14.660
424	Wynigen	2071	446	21.535
431	Corgémont	1789	429	23.980
432	Cormoret	505	114	22.574
433	Cortébert	683	139	20.351
434	Courtelary	1420	344	24.225
435	La Ferrière	539	108	20.037
437	Mont-Tramelan	110	32	29.091
438	Orvin	1236	240	19.417
441	Renan (BE)	977	200	20.471
442	Romont (BE)	222	33	14.865
443	Saint-Imier	5080	980	19.291
444	Sonceboz-Sombeval	1921	427	22.228
445	Sonvilier	1210	292	24.132
446	Tramelan	4587	983	21.430
448	Villeret	923	194	21.018
449	Sauge	826	141	17.070
450	Péry-La Heutte	1960	379	19.337
491	Brüttelen	621	110	17.713
492	Erlach	1376	261	18.968
493	Finsterhennen	573	118	20.593
494	Gals	851	166	19.506
495	Gampelen	1002	187	18.663
496	Ins	3621	781	21.569
497	Lüscherz	558	70	12.545
498	Müntschemier	1609	349	21.690
499	Siselen	629	121	19.237
500	Treiten	431	66	15.313
501	Tschugg	473	84	17.759
502	Vinelz	888	153	17.230
533	Bätterkinden	3368	651	19.329
535	Deisswil bei Münchenbuchsee	88	9	10.227
536	Diemerswil	205	49	23.902
538	Fraubrunnen	5399	1171	21.689
540	Jegenstorf	5789	1130	19.520
541	Iffwil	433	100	23.095
543	Mattstetten	589	127	21.562
544	Moosseedorf	4113	875	21.274
546	Münchenbuchsee	10214	2055	20.119
551	Urtenen-Schönbühl	6410	1372	21.404
552	Utzenstorf	4476	865	19.325
553	Wiggiswil	105	20	19.048
554	Wiler bei Utzenstorf	1037	237	22.854
556	Zielebach	331	51	15.408
557	Zuzwil (BE)	542	117	21.587
